sleep_hours,screen_time,physical_activity,work_hours,social_interaction,caffeine_intake,mood
9.817507766587351,3.3555911365566855,41,8.408747448032146,3,4,Happy
8.650796940166687,4.080781828815402,8,3.8188008439914483,3,0,Neutral
9.636993649385134,7.809093372134855,49,5.456672833238632,4,0,Happy
9.368964102565894,3.5353760412502213,26,10.967884099060118,4,5,Neutral
7.587399872866511,2.35594197348874,65,6.739616402628723,10,5,Happy
9.531245410138702,5.454410099666801,4,8.675577385210271,5,2,Stressed
4.530955012311517,8.489238193286248,28,3.7231987120162984,4,5,Stressed
5.175897174514871,6.568238373399784,36,3.9228901880867078,10,3,Neutral
4.271363733463229,5.56048936071492,37,2.4086861626647886,8,1,Neutral
5.951981984579586,1.7774119501661483,82,3.6893506307216457,6,1,Happy
6.332063738136892,5.920057813593358,7,4.785903390319586,6,4,Stressed
5.628094190643376,8.920430800834106,64,3.770104842767468,8,4,Happy
8.972425054911575,2.1206721218921922,85,2.887025337570556,7,1,Happy
6.1405199601615355,5.146637218909894,16,3.206358711006008,10,4,Neutral
5.685607058124285,8.018984575423644,70,6.607787680327258,10,2,Happy
7.256176498949491,6.9261489420336355,88,4.063337184057925,8,5,Happy
4.845545349848576,6.576125927962144,44,5.642698610480755,2,1,Stressed
8.813181884524237,6.619872671896874,3,7.034172708548569,9,4,Neutral
4.447303862078625,3.8759292097580413,35,8.903948286293653,1,1,Stressed
9.921321619603104,3.348734754115947,69,2.3931213984109894,8,3,Happy
8.633468615779945,7.474889243828109,30,9.994103989090426,4,0,Neutral
5.192294089205035,7.480907157433446,18,8.279003894909078,4,5,Sad
4.033132702741614,7.93657854864083,60,2.817590319488719,5,1,Neutral
8.892768570729004,8.30592442045177,53,10.735786241067773,8,0,Happy
8.241144063085702,5.090739190887502,38,11.208724005318132,5,4,Neutral
8.374043008245923,5.012130357497597,73,2.6107795985486373,8,0,Happy
8.627622080115675,7.386361431734201,89,4.768776481472037,10,5,Happy
4.444267910404542,6.199711446222121,18,10.062012797930613,1,1,Sad
6.150794371265635,6.615735018061627,38,9.482596903836583,10,3,Neutral
4.695214357150778,7.366341355488808,66,3.8452101935637732,9,4,Happy
9.178620555253561,8.12004273454053,44,4.093493233367103,6,1,Happy
7.7397887609653475,3.7039612548122864,12,5.70472102791382,3,5,Stressed
5.985388149115895,4.004663621119552,57,6.845229851910213,8,4,Happy
4.381350101716142,1.751855518726952,19,8.18254771530296,9,2,Stressed
5.865893930293973,5.626241127969392,71,5.689136395697724,6,0,Happy
5.951099932160482,1.2875381903739367,60,6.625347161331479,7,5,Happy
8.377637070028385,4.724784145059681,38,9.474709381337565,1,2,Neutral
7.8253448281312785,5.341157077660613,0,2.366832028905979,5,1,Neutral
9.32327645545796,3.2923300170262753,2,4.524369443440207,5,3,Neutral
6.8332895509716955,5.726666084552086,76,9.133495858845524,10,4,Happy
4.71756547562981,1.2440019995123954,61,10.952068376871994,4,0,Neutral
8.27946872333797,1.2987855099937153,62,7.116774421156661,6,4,Happy
8.564710291701385,7.580804485277266,24,7.321134852653157,7,1,Neutral
7.367663185416977,3.881525131290103,55,3.0717201133977605,9,4,Happy
8.625803079727365,2.0164841012150783,32,6.474123668234546,1,0,Neutral
6.9627735781863445,5.177946080438435,37,7.326172664550231,6,1,Neutral
7.136396976291964,7.159948424788887,5,4.424705036347296,7,4,Stressed
6.565246110151298,2.7265682199747454,57,4.692432309493809,3,3,Happy
4.152514760464571,5.983123806552002,43,5.7728416310462265,8,5,Neutral
4.647348561959827,1.682779719950144,44,2.2007119777772637,5,1,Neutral
4.188575114120406,1.4134537693488616,31,5.220791655831783,9,5,Neutral
7.818462467582682,5.250837052545184,44,4.114480069965446,5,1,Happy
5.88613588645796,5.325080972880852,60,5.274973521779146,9,3,Happy
7.051424146988216,6.099439211985652,46,3.197621318192512,10,5,Happy
9.445398843556557,6.808730669781292,20,10.90527280739895,4,2,Stressed
5.495753374893249,8.806816635700276,79,7.935924535540487,9,0,Happy
6.462297538213779,5.1304027864095625,84,8.791023191444896,5,2,Happy
8.533306831258292,3.5836517835299677,74,9.891712386073383,10,4,Happy
5.372788992949735,7.361489558149629,35,6.984421989290572,9,3,Neutral
4.461879458972758,3.1666580100965938,18,2.869202880874237,3,2,Stressed
5.738508717482608,4.511771365645089,19,7.371065418185478,4,1,Stressed
4.9673277235240265,1.6276510507381277,56,7.868411180208791,9,4,Happy
9.578185914055439,1.20280594732366,17,9.4543947418433,10,4,Happy
8.848722277386502,8.7011873174234,46,6.316595462296794,6,2,Happy
7.800422539062541,7.687840964097647,48,3.2758030279556376,2,2,Neutral
9.228763541126305,6.567793648749584,13,4.8377590579872445,7,3,Neutral
8.822032461394688,4.271623555314159,14,5.6308229639863505,2,0,Neutral
5.119420353316215,2.386354560566766,30,8.459172413316011,2,2,Stressed
9.355353990939866,2.2514963413686884,0,7.707783046689119,1,2,Stressed
7.2360534514939046,3.0019431853167626,53,5.5609672589784624,3,5,Happy
8.844640930984376,5.393813317648964,2,11.865152487929796,6,1,Stressed
9.376547799540958,6.716767381600499,15,8.057748193568871,8,5,Neutral
5.908020849831184,6.28157901374185,86,4.372267917359945,9,5,Happy
4.66031154716606,3.2394711755675427,56,3.0178247262040374,7,4,Happy
5.36761097525165,8.638922245305553,74,3.52859139184332,4,0,Happy
6.562646731757538,6.903175333566148,11,4.459577283845081,6,1,Stressed
8.90808859553496,5.4348324200912055,73,3.6068137325955565,5,3,Happy
9.164383499538062,5.893765969874818,15,3.8656702405130576,8,3,Happy
4.041712783187144,4.356800499422319,71,4.850951686938471,1,2,Neutral
7.064483815465394,2.9818479160092597,75,3.7337359529475482,1,2,Happy
6.504466018892674,3.8477814292100927,23,10.967654246264251,6,3,Stressed
5.332646862824381,7.062768883714953,27,2.802337456616422,10,2,Neutral
4.719192204002097,1.115147909038047,7,7.245113895702547,2,0,Sad
6.025691028421768,1.9285811240553299,35,6.103968269896615,5,5,Neutral
9.657458223475114,1.368021136174022,89,11.823786169086064,1,2,Happy
5.939217592124532,1.325830418551761,7,3.1203890216805235,7,4,Neutral
7.112743730460196,7.843684672088058,57,5.978555990457417,1,2,Neutral
8.218113753371068,6.629262875040189,59,11.69470433275369,4,1,Neutral
6.181777614275764,4.7933906326986016,49,10.655071258939802,9,0,Neutral
9.830692496325764,1.7826732852080118,27,10.1707207094928,1,1,Neutral
9.774683769652668,4.932927000934659,40,4.579028270449398,4,1,Happy
5.510693774952185,4.7877741662445255,63,3.7088758739006584,6,4,Happy
6.983491035354312,2.3856149592801215,26,8.68643219924431,6,0,Neutral
5.805269858900618,4.470813193903784,62,11.293759891275858,8,0,Neutral
5.709042966264805,4.1880378751789875,16,7.567628930139298,1,0,Sad
4.221321684127197,5.926800784417732,72,7.7161268946989985,7,0,Happy
7.657386003879381,6.08074920694115,32,4.799790936602841,1,0,Neutral
7.016074139373169,1.3624320781763561,83,9.694929331919369,7,4,Happy
4.308872507499936,3.9969009170117697,76,3.8704374855752337,3,2,Happy
5.671878785419668,6.006879325713891,28,5.2367923640424365,8,1,Neutral
9.449595315799922,5.025090068640702,12,6.254364386164168,3,0,Neutral
5.437371344001835,7.851918729506578,45,7.07610378684455,1,2,Stressed
4.8693692325473386,6.26954905295156,34,4.424097324150802,8,2,Neutral
6.936716561665378,2.3034754166514375,5,3.1483682473920354,3,1,Stressed
9.913902724663604,1.5645499792034387,81,8.106200424416325,2,4,Happy
5.452331629069002,6.139354225650525,68,4.886305532402558,1,3,Neutral
8.03281328443527,1.2120904843329745,46,7.812382214226123,3,3,Neutral
8.569717691972306,5.686204650187706,24,3.5436271527420233,2,2,Neutral
5.425825263954398,8.52184193139966,65,6.811401018548175,2,5,Neutral
8.369298091671158,5.603793423007032,9,7.325894325515859,6,5,Stressed
6.20669879631552,4.105359409652175,55,2.518235368224269,1,1,Happy
7.793834983561477,6.146305747538825,29,5.366042781939206,2,3,Neutral
7.801178264565368,4.666023123932133,4,3.3441467693897424,6,2,Neutral
7.214648104448551,5.3649343145274795,32,2.6337497047276774,3,4,Neutral
4.54173862032645,8.531718470212201,64,11.899602323899453,4,3,Stressed
9.011814973535428,4.088821102406194,17,5.223538449747229,1,2,Neutral
5.9246803898304155,8.689524510591314,48,10.09874445854635,8,2,Neutral
5.119111062399125,8.24280513564851,10,4.5464065476376385,7,0,Stressed
4.2446508493285835,2.5663290783143715,84,8.815027222239292,7,4,Happy
7.545357659129451,1.5548904070013236,25,9.602278598896866,3,0,Stressed
8.065386171053694,1.8062240110194132,62,7.956387406078443,10,1,Happy
4.099526973567137,1.1457746052123978,88,6.715761885501584,10,0,Happy
7.072558349795686,1.7555436860474272,85,6.118409141472686,3,0,Happy
5.358974651187628,6.464054187330855,58,5.488682665429953,2,3,Neutral
7.871036742456699,1.569509187681832,26,11.29529144247826,1,5,Stressed
5.046198574029948,3.5518050423500904,48,10.306194077877292,7,2,Neutral
8.145626428614795,7.7590024877556365,76,11.650269106665126,7,4,Happy
6.3204120778032244,1.186175485886607,32,3.242972234855447,2,0,Neutral
9.620379932420407,7.515747860711486,0,9.308674752036442,7,4,Stressed
4.8251256648759595,3.2548381981871994,20,11.383404568210379,8,5,Stressed
6.046398106301551,1.94531862097325,54,3.8123306616566017,1,5,Neutral
4.680841127443534,6.573897322913205,5,2.664962673667775,9,0,Stressed
9.548161709671376,6.031542774239072,80,9.41120649290059,7,1,Happy
9.264036120285887,8.019776108216423,68,7.744731131799119,3,0,Happy
5.547649766290934,6.880568350431086,4,10.41828776758272,8,3,Sad
7.959904276205075,7.427847443078789,2,3.397723766262895,7,2,Neutral
8.903333201207296,3.256276580570452,52,9.952673118598902,8,1,Happy
7.331204869596774,2.4195163502377826,22,4.016273200477445,6,0,Neutral
7.177903470136039,7.004918013126867,52,3.636559428657045,9,4,Happy
5.45111374540271,7.454677914138112,36,3.6426579793099294,5,1,Neutral
4.558616606835395,8.924041136005386,73,10.14574720231382,3,1,Neutral
9.38329454771996,4.300941415291412,73,8.651972206962,3,0,Happy
9.402508342979983,3.9761446863422654,82,7.230654247691193,1,1,Happy
7.798608743639607,7.211303685935975,16,5.588304841235025,8,4,Neutral
6.034178746292204,3.7264283220241428,84,10.772005408131083,2,5,Neutral
6.095257447675966,8.446058604828519,77,5.924451074226354,3,1,Happy
8.355734073221436,7.867302014744094,72,10.16599439471577,8,5,Happy
9.382661559715462,4.431952219000147,0,6.391349085702184,8,4,Neutral
9.322518545590704,7.006968542331979,50,5.769444294249076,4,0,Happy
8.679253275145744,7.036342992677459,44,6.626797856696064,4,2,Neutral
